timestamp,MUX1_0_pF,MUX1_1_pF,MUX1_2_pF,MUX1_3_pF,MUX2_0_pF,MUX2_1_pF,MUX2_2_pF,MUX2_3_pF
172.145,309.133841,290.266157,294.117745,294.290603,306.167913,288.600941,292.325579,293.103062
172.525,309.130138,290.265861,294.117142,294.217976,306.164490,288.601528,292.322716,293.052762
172.866,309.134489,290.259390,294.116625,294.271970,306.170972,288.600647,292.326733,293.067298
173.220,309.132313,290.261335,294.113392,294.215992,306.180512,288.603123,292.325964,292.978899
173.561,309.129213,290.263661,294.114858,294.243807,306.170059,288.601822,292.329082,293.082049
173.951,309.126389,290.261335,294.113694,294.282494,306.169146,288.606604,292.325664,292.996215
174.300,309.129814,290.261335,294.116280,294.267053,306.172159,288.605136,292.327416,293.063481
174.638,309.133517,290.263661,294.113996,294.243850,306.173117,288.604003,292.324767,293.036984
174.988,309.129213,290.262477,294.112875,294.228109,306.170059,288.602955,292.325365,293.078833
175.330,309.132313,290.263238,294.113392,294.289741,306.168553,288.601528,292.326519,293.049118
175.709,309.128287,290.262477,294.112616,294.251958,306.174030,288.606311,292.327032,293.033254
176.061,309.128889,290.261927,294.111625,294.240615,306.172524,288.604297,292.328484,293.113227
176.411,309.130138,290.261927,294.114858,294.226428,306.176495,288.604423,292.330535,293.078833
176.765,309.127593,290.261039,294.113090,294.281243,306.171291,288.604717,292.328185,293.047874
177.100,309.132591,290.263365,294.113694,294.252259,306.175902,288.606604,292.327929,293.031196
177.483,309.134766,290.263831,294.115978,294.240313,306.177134,288.606604,292.329082,293.107394
